section,mission_id,mission_title,quest_type,quest_classification,sequence,location,step_title,player_action,trigger_or_ui,reward_curiosity,reward_empathy,reward_awareness,dev_notes
mission,student_mission_1,Hungry Bus Workers,Artefact Collection Type,Side Quest,1,Bus Depot,See hungry workers,"Player notices a hungry bus worker at the depot.","One bus worker should show a chat bubble saying they have been at the depot for a while and could use some food. Bubble includes Help Out button.",0,0,0,"Starts Mission 1 quest offer lightbox."
mission,student_mission_1,Hungry Bus Workers,Artefact Collection Type,Side Quest,2,Home,Collect tingkat,"Player collects a tingkat/tiffin carrier from home.","Quest objective after accepting Hungry Bus Workers.",0,0,0,"Use existing or new tingkat artefact if available."
mission,student_mission_1,Hungry Bus Workers,Artefact Collection Type,Side Quest,3,Market,Food from Mdm Lee,"Player gets food from Mdm Lee at the market.","Quest objective after collecting tingkat.",0,0,0,"Whiteboard text may read Mom Lee, but existing project NPC metadata uses Mdm Lee."
mission,student_mission_1,Hungry Bus Workers,Artefact Collection Type,Side Quest,4,Bus Depot,Deliver food,"Player returns to the bus depot and delivers food to the bus worker.","Completion interaction with hungry bus worker.",0,20,0,"Mission reward from whiteboard: +20 Empathy."
mission,student_mission_2,Learn About Labour Front Manifesto,Artefact Chat Type,Side Quest,1,Classroom,Teacher asks question,"Teacher asks player a question about the Labour Front manifesto.","Mission setup interaction.",0,0,0,"Starts Mission 2."
mission,student_mission_2,Learn About Labour Front Manifesto,Artefact Chat Type,Side Quest,2,City Hall,Chat with manifesto,"Player chats with the Labour Front manifesto artefact.","Artefact AI/chat interaction.",0,0,0,"Use artefact chat pattern."
mission,student_mission_2,Learn About Labour Front Manifesto,Artefact Chat Type,Side Quest,3,Classroom,Answer question,"Player returns to classroom and answers the teacher's question.","Completion interaction.",10,0,10,"Mission reward from whiteboard: +10 Curiosity, +10 Awareness."
mission,student_mission_3,Write A Letter For Journalist,Information Collection Type,Main Story Quest,1,City Hall,Meet journalist,"Player meets the journalist at City Hall.","Mission setup interaction.",0,0,0,"Whiteboard labels this as Main story Quest."
mission,student_mission_3,Write A Letter For Journalist,Information Collection Type,Main Story Quest,2,Before Alexandra Road,Write letter,"Player writes a letter before Alexandra Road.","Information collection / writing objective.",0,0,0,"Exact scene route needs implementation mapping."
mission,student_mission_3,Write A Letter For Journalist,Information Collection Type,Main Story Quest,3,Alexandra Road,Give letter,"Player gives the letter at Alexandra Road.","Completion interaction.",10,5,10,"Mission reward from whiteboard: +10 Curiosity, +10 Awareness, +5 Empathy."
gameplay_interaction,all,All Student Missions,General Interaction,Gameplay Reward,,Any scene,Chat with artefact AI,"Player asks or completes one artefact AI chat question.","Award per question/chat interaction.",1,0,0.5,"Whiteboard note: each chat w/ artefact AI gives +1 Curiosity and +0.5 Awareness per question."
gameplay_interaction,all,All Student Missions,General Interaction,Gameplay Reward,,Any scene,NPC interaction,"Player completes an NPC interaction.","Award per NPC interaction.",0,2,0,"Whiteboard note: each NPC interaction gives +2 Empathy."
gameplay_interaction,all,All Student Missions,General Interaction,Gameplay Reward,,Any scene,Questions to Merlion,"Player asks a question to Merlion.","Award per Merlion question.",1,0,0.5,"Whiteboard note: questions to Merlion gives +1 Curiosity and +0.5 Awareness."
gameplay_interaction,all,All Student Missions,General Interaction,Gameplay Reward,,Any scene,Easter egg,"Player discovers an Easter egg.","Award on Easter egg discovery.",0,0,2,"Whiteboard note: Easter egg gives +2 Awareness."
gameplay_interaction,all,All Student Missions,General Interaction,Gameplay Reward,,Any scene,Camera icon,"Player uses the camera/source image icon.","Award on camera interaction.",0.5,0,1,"Whiteboard note: camera icon gives +1 Awareness and +0.5 Curiosity."
stat_totals,student_pathway,Student Pathway Totals,Summary,Projected Totals,,All mission completions,Quest rewards only,"Total rewards across all three missions, excluding repeatable gameplay interactions.","Computed from mission completion rewards.",20,25,20,"Matches whiteboard total row: Curiosity 20, Empathy 25, Awareness 20."
